Day,Parent_organisation,Customer,Customer_Id,SIM_State,Sum_Bytes_upload,Sum_Bytes_download,Sum_Total_Kbytes,Nr._of_Voice_calls,Nr._of_SMS_MO,Nr._of_SMS_payload,Nr._of_SMS_transactional,Nr._of_Transactional_SMS_enh.,Nr._of_SMS_wakeup,Nr._of_SMS_P2P_MO,Nr._of_SMS_P2P_MT,Total_Nr._of_SMS,Nr._of_PS_sessions,Sum_Total_Duration,Nr._of_SIMs
2023-05-22,VFCZ,HARDWARIO,100217240,Active.Live,"49,685,186","23,379,738","71,352",0,0,0,0,0,0,0,0,0,"1,424",0,781
2023-05-23,VFCZ,HARDWARIO,100217240,Active.Live,"38,105,896","17,383,403","54,189",0,0,0,0,0,0,0,0,0,"1,757",0,791
2023-05-24,VFCZ,HARDWARIO,100217240,Active.Live,"36,998,758","16,530,000","52,274",0,0,0,0,0,0,0,0,0,"1,868",0,769
2023-05-25,VFCZ,HARDWARIO,100217240,Active.Live,"39,429,292","22,729,779","60,702",0,0,0,0,0,0,0,0,0,"2,194",0,784
2023-04-22,VFCZ,HARDWARIO,100217240,Active.Test,"235,812",0,230,0,0,0,0,0,0,0,0,0,51,0,26
2023-04-22,VFCZ,HARDWARIO,100217240,Active.Live,"48,737,073","25,949,853","72,936",0,0,0,0,0,0,0,0,0,"1,505",0,759
2023-04-23,VFCZ,HARDWARIO,100217240,Active.Test,"138,913",0,136,0,0,0,0,0,0,0,0,0,11,0,6
2023-04-23,VFCZ,HARDWARIO,100217240,Active.Live,"65,554,602","40,724,202","103,788",0,0,0,0,0,0,0,0,0,"1,427",0,763
2023-04-24,VFCZ,HARDWARIO,100217240,Active.Test,"156,922",0,153,0,0,0,0,0,0,0,0,0,1,0,1
2023-04-24,VFCZ,HARDWARIO,100217240,Active.Live,"48,212,623","21,578,498","68,155",0,0,0,0,0,0,0,0,0,"1,301",0,758
2023-04-25,VFCZ,HARDWARIO,100217240,Active.Test,"156,566",0,153,0,0,0,0,0,0,0,0,0,4,0,3
2023-04-25,VFCZ,HARDWARIO,100217240,Active.Live,"41,271,592","15,206,977","55,155",0,0,0,0,0,0,0,0,0,"1,986",0,789
